vehical_name,Registration Year ,Insurance ,Fuel Type ,Seats ,Kms Driven ,RTO ,Ownership ,Engine Displacement ,Transmission ,Year of Manufacture ,Engine ,Power ,Transmission ,Drive Type ,Mileage ,Fuel ,new_vehical_price,vehical_price,other_features
2019 Hyundai Grand i10 1.2 Kappa Asta,2019,-,Petrol,5 Seats,"80,000 Kms",Ganjam,Second Owner,1197 cc,Manual,2019,,,Manual,,,,New Car Price ₹7.56 Lakh,₹3.80 Lakh ,[]
2023 Renault Kiger RXT Opt,2023,-,Petrol,5 Seats,"18,000 Kms",,First Owner,999 cc,Manual,2023,999 cc,71 bhp,Manual,FWD,20.5 kmpl,,New Car Price ₹8.99 Lakh,₹7.50 Lakh ,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2021 Maruti Ciaz Alpha BSVI,2021,-,Petrol,5 Seats,"40,000 Kms",Bhubaneswar,Second Owner,1462 cc,Manual,2021,1462 cc,103.25 bhp,Manual,,20.65 kmpl,Petrol,New Car Price ₹12.84 Lakh,₹7.50 Lakh ,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2024 Tata Nexon Creative Plus S Dark,2024,-,Petrol,5 Seats,"20,000 Kms",AP40,First Owner,1199 cc,Manual,2024,,,Manual,,,,New Car Price ₹15.08 Lakh,₹14.50 Lakh ,[]
2022 Tata Nexon XZ Plus BSVI,2022,-,Petrol,5 Seats,"70,000 Kms",Prakasam,Second Owner,1199 cc,Manual,2022,,,Manual,,,,New Car Price ₹12.89 Lakh,₹8.90 Lakh ,[]
2023 Tata Altroz XT BSVI,2023,-,Petrol,5 Seats,"20,000 Kms",Bhubaneswar,First Owner,1199 cc,Manual,2023,1199 cc,86.83 bhp,Manual,,19.33 kmpl,Petrol,New Car Price ₹9.05 Lakh,₹7 Lakh ,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Android Auto/Apple CarPlay', 'Rear Camera']"
2006 Maruti Swift VDi BSIII W/ ABS,2006,-,Diesel,5 Seats,"48,000 Kms",Kolkata,Third Owner,1248 cc,Manual,2006,1248 cc,,Manual,,17.8 kmpl,Diesel,New Car Price ₹6.11 Lakh,₹1 Lakh ,"['Central Locking', 'Air Conditioner']"
2018 Maruti Baleno 1.2 CVT Alpha,2018,-,Petrol,5 Seats,"50,000 Kms",Ganjam,First Owner,1197 cc,Automatic,2018,1197 cc,83.1 bhp,Automatic,,21.4 kmpl,Petrol,New Car Price ₹9.85 Lakh,₹6 Lakh ,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Rear Camera']"
2021 Hyundai Creta SX Executive Diesel BSVI,2021,-,Diesel,5 Seats,"40,000 Kms",Bhubaneswar,First Owner,1493 cc,Manual,2021,1493 cc,113.45 bhp,Manual,,18 kmpl,Diesel,New Car Price ₹17.81 Lakh,₹13 Lakh ,"['Height Adjustable Driver Seat', 'Automatic Climate Control', 'Cruise Control']"
2022 Mahindra Scorpio S11,2022,-,Diesel,7 Seats,"1,20,000 Kms",Bhanjanagar,First Owner,2179 cc,Manual,2022,2179 cc,136.78 bhp,Manual,,15.4 kmpl,Diesel,New Car Price ₹21.87 Lakh,₹12.50 Lakh ,"['Height Adjustable Driver Seat', 'Automatic Climate Control', 'Cruise Control']"
2018 Datsun GO Plus Remix Limited Edition,2018,-,Petrol,7 Seats,"40,000 Kms",Srikakulam,First Owner,1198 cc,Manual,2018,1198 cc,67 bhp,Manual,,20.62 kmpl,Petrol,New Car Price ₹6.05 Lakh,₹2.70 Lakh ,['Tumble Fold Seats']
2011 Mahindra Bolero DI,2011,-,Diesel,7 Seats,"2,00,000 Kms",chattarpur,Second Owner,2523 cc,Manual,2011,2523 cc,,Manual,,13.6 kmpl,Diesel,New Car Price ₹5.67 Lakh,₹2.30 Lakh ,[]
2019 Honda Civic V,2019,-,Petrol,5 Seats,"70,000 Kms",Bhubaneswar,First Owner,1799 cc,Automatic,2019,1799 cc,139.46 bhp,Automatic,,16.5 kmpl,Petrol,New Car Price ₹20.88 Lakh,₹12 Lakh ,[]
2025 Tata Nexon Pure Plus CNG,2025,-,CNG,5 Seats,"10,000 Kms",Ujjain,First Owner,1199 cc,Manual,2025,1199 cc,99 bhp,Manual,FWD,17.44 km/kg,,New Car Price ₹12.60 Lakh,₹10.50 Lakh ,"['Rear AC Vents', 'Parking Sensors', 'Advanced Internet Features']"
2013 Ford Figo Diesel Titanium,2013,-,Diesel,5 Seats,"1,38,000 Kms",,Second Owner,1399 cc,Manual,2013,1399 cc,68.05 bhp,Manual,,20 kmpl,Diesel,New Car Price ₹7.42 Lakh,₹1.70 Lakh ,[]
2013 Ford Figo Diesel Titanium,2013,-,Diesel,5 Seats,"1,38,000 Kms",chattarpur,Second Owner,1399 cc,Manual,2013,1399 cc,68.05 bhp,Manual,,20 kmpl,Diesel,New Car Price ₹7.42 Lakh,₹1.80 Lakh ,[]
2020 Hyundai Aura S AMT,2020,-,Petrol,5 Seats,"20,000 Kms",,First Owner,1197 cc,Automatic,2020,1197 cc,81.86 bhp,Automatic,,20.1 kmpl,Petrol,New Car Price ₹8.53 Lakh,₹5.50 Lakh ,"['Rear AC Vents', 'Parking Sensors', 'Android Auto/Apple CarPlay']"
2013 Honda Amaze S i-Dtech,Jun 2013,Third Party,Diesel,5 Seats,"1,54,000 Kms",vasai,Third Owner,1498 cc,Manual,2013,,,Manual,,,,New Car Price ₹8.83 Lakh,₹2.65 Lakh Make Your Offer,[]
2014 Hyundai EON Magna Optional,2014,-,Petrol,5 Seats,"1,20,000 Kms",Nashik,Second Owner,814 cc,Manual,2014,,,Manual,,,,New Car Price ₹4.66 Lakh,₹2.15 Lakh ,[]
2018 Maruti Celerio X AMT ZXI Option BSIV,Aug 2018,-,Petrol,5 Seats,"74,908 Kms",kalyan,First Owner,998 cc,Automatic,2018,,,Automatic,,,,New Car Price ₹6.57 Lakh,₹4.55 Lakh Make Your Offer,[]
2012 Tata Indigo TDI,2012,-,Diesel,5 Seats,"90,000 Kms",Amravati,Second Owner,1405 cc,Manual,2012,,,Manual,,,,New Car Price ₹7.10 Lakh,₹1.20 Lakh ,[]
2015 Honda City i DTEC E,2015,-,Diesel,5 Seats,"1,00,000 Kms",thiruvalla,First Owner,1498 cc,Manual,2015,,,Manual,,,,New Car Price ₹10.45 Lakh,₹7.50 Lakh ,[]
2015 Maruti Wagon R VXI BS IV,2015,-,Petrol,5 Seats,"80,000 Kms",washim,First Owner,998 cc,Manual,2015,,,Manual,,,,New Car Price ₹5.32 Lakh,₹2.70 Lakh ,[]
2016 Honda Jazz 1.5 V i DTEC,Jun 2016,Comprehensive,Diesel,5 Seats,"94,300 Kms",Thane,First Owner,1498 cc,Manual,2016,1498 cc,98.6 bhp,Manual,,27.3 kmpl,Diesel,New Car Price ₹10.58 Lakh,₹4.55 Lakh Make Your Offer,"['Automatic Climate Control', 'Lane Change Indicator', 'Rear Camera']"
2014 Maruti Ertiga VDI,Jul 2014,Third Party,Diesel,7 Seats,"1,59,000 Kms",Thane,Third Owner,1248 cc,Manual,2014,1248 cc,88.76 bhp,Manual,,20.77 kmpl,Diesel,New Car Price ₹9.89 Lakh,₹5.70 Lakh Make Your Offer,"['Rear AC Vents', 'Rear Seat Armrest', 'Tumble Fold Seats']"
2015 Hyundai Xcent 1.2 Kappa S,Dec 2015,-,Petrol,5 Seats,"19,988 Kms",kalyan,Second Owner,1197 cc,Manual,2015,,,Manual,,,,New Car Price ₹7 Lakh,₹3.95 Lakh Make Your Offer,[]
2014 Honda Amaze EX i-Dtech,Jun 2014,Third Party,Diesel,5 Seats,"96,776 Kms",Mumbai,Second Owner,1498 cc,Manual,2014,1498 cc,98.6 bhp,Manual,,25.8 kmpl,Diesel,New Car Price ₹8.20 Lakh,₹3.45 Lakh Make Your Offer,[]
2013 Maruti Swift Dzire VDI,Jan 2014,-,Diesel,5 Seats,"82,394 Kms",Nanded,First Owner,1248 cc,Manual,2013,1248 cc,74 bhp,Manual,,23.4 kmpl,Diesel,New Car Price ₹8 Lakh,₹4.50 Lakh Make Your Offer,[]
2019 Mahindra XUV300 W6 Diesel BSIV,Mar 2019,-,Diesel,5 Seats,"60,481 Kms",Mumbai,First Owner,1497 cc,Manual,2019,1497 cc,115 bhp,Manual,FWD,20 kmpl,,New Car Price ₹11.20 Lakh,₹7.50 Lakh Make Your Offer,[]
2016 Maruti Wagon R VXI BS IV,Nov 2016,Zero Dep,Petrol,5 Seats,"68,000 Kms",kalyan,First Owner,998 cc,Manual,2016,998 cc,67.04 bhp,Manual,,20.51 kmpl,Petrol,New Car Price ₹5.32 Lakh,₹3.90 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer']"
2016 Hyundai Xcent 1.1 CRDi Base,May 2016,-,Diesel,5 Seats,"97,000 Kms",Thane,Fourth Owner,1120 cc,Manual,2016,1120 cc,71 bhp,Manual,,24.4 kmpl,Diesel,New Car Price ₹7.68 Lakh,₹3.99 Lakh Make Your Offer,[]
2010 Hyundai i20 1.2 Sportz,Jul 2010,-,Petrol,5 Seats,"70,000 Kms",Mumbai,Second Owner,1197 cc,Manual,2010,1197 cc,,Manual,,17 kmpl,Petrol,New Car Price ₹6.39 Lakh,₹2.10 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Steering Mounted Controls']"
2014 Honda Amaze S i-Vtech,Jun 2014,Third Party,Petrol,5 Seats,"80,000 Kms",panvel,Second Owner,1198 cc,Manual,2014,1198 cc,86.7 bhp,Manual,,18 kmpl,Petrol,New Car Price ₹7.29 Lakh,₹3.25 Lakh Make Your Offer,[]
2017 Maruti Ertiga SHVS VDI,Sept 2017,-,Diesel,7 Seats,"2,25,000 Kms",Mumbai,Second Owner,1248 cc,Manual,2017,1248 cc,88.5 bhp,Manual,,24.52 kmpl,Diesel,New Car Price ₹11.62 Lakh,₹7.25 Lakh Make Your Offer,"['Parking Sensors', 'Rear AC Vents', 'Rear Seat Armrest', 'Tumble Fold Seats']"
2014 Hyundai Grand i10 CRDi Sportz,Jul 2014,-,Diesel,5 Seats,"61,000 Kms",Nashik,Second Owner,1120 cc,Manual,2014,1120 cc,70 bhp,Manual,,24 kmpl,Diesel,New Car Price ₹7.54 Lakh,₹3.30 Lakh Make Your Offer,['Rear AC Vents']
2021 Renault KWID 1.0 RXT Opt,Apr 2021,-,Petrol,5 Seats,"58,000 Kms",Buldhana,First Owner,999 cc,Manual,2021,999 cc,67 bhp,Manual,,21.74 kmpl,Petrol,New Car Price ₹5.91 Lakh,₹4.35 Lakh Make Your Offer,"['Keyless Entry', 'Rear Camera', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Bluetooth Connectivity', 'Touchscreen']"
2015 Hyundai Grand i10 Magna,Aug 2015,Comprehensive,Petrol,5 Seats,"52,000 Kms",Mumbai,Second Owner,1197 cc,Manual,2015,,,Manual,,,,New Car Price ₹5.91 Lakh,₹3.40 Lakh Make Your Offer,[]
2016 Hyundai Xcent 1.1 CRDi Base,Oct 2016,Comprehensive,Diesel,5 Seats,"94,560 Kms",Mumbai,Second Owner,1120 cc,Manual,2016,1120 cc,71 bhp,Manual,,24.4 kmpl,Diesel,New Car Price ₹7.68 Lakh,₹3.85 Lakh Make Your Offer,[]
2019 Maruti Baleno Zeta,Jan 2020,Comprehensive,Petrol,5 Seats,"1,12,000 Kms",Sangli,First Owner,1197 cc,Manual,2019,1197 cc,81.80 bhp,Manual,,21.01 kmpl,Petrol,New Car Price ₹8.95 Lakh,₹6.85 Lakh Make Your Offer,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Android Auto/Apple CarPlay']"
2018 Maruti Swift Dzire VDI,Jun 2018,Comprehensive,Diesel,5 Seats,"1,14,000 Kms",Aurangabad,First Owner,1248 cc,Manual,2018,1248 cc,74.02 bhp,Manual,,28.4 kmpl,Diesel,New Car Price ₹8.96 Lakh,₹7.95 Lakh Make Your Offer,"['Rear AC Vents', 'Parking Sensors']"
2017 Renault KWID 1.0 RXT,Aug 2017,Comprehensive,Petrol,5 Seats,"30,600 Kms",Mumbai,First Owner,999 cc,Manual,2017,999 cc,67 bhp,Manual,,23.01 kmpl,Petrol,New Car Price ₹4.69 Lakh,₹3.05 Lakh Make Your Offer,"['Keyless Entry', 'Rear Camera', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Bluetooth Connectivity', 'Touchscreen']"
2017 Hyundai EON Magna Plus,Nov 2017,-,Petrol,5 Seats,"59,000 Kms",Nashik,First Owner,814 cc,Manual,2017,814 cc,55.2 bhp,Manual,,21.1 kmpl,Petrol,New Car Price ₹4.85 Lakh,₹2.99 Lakh Make Your Offer,"['Central Locking', 'Air Conditioner', 'Digital Odometer']"
2015 Maruti Baleno 1.2 Delta,Nov 2015,-,Petrol,5 Seats,"1,05,000 Kms",panvel,Second Owner,1197 cc,Manual,2015,1197 cc,83.1 bhp,Manual,,21.4 kmpl,Petrol,New Car Price ₹7.21 Lakh,₹4.49 Lakh Make Your Offer,['Automatic Climate Control']
2018 Maruti Wagon R VXI Optional,May 2018,Comprehensive,Petrol,5 Seats,"21,500 Kms",Thane,Second Owner,998 cc,Manual,2018,998 cc,67.04 bhp,Manual,,20.51 kmpl,Petrol,New Car Price ₹5.64 Lakh,₹4.30 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer']"
2015 Hyundai i20 Sportz 1.4 CRDi,Mar 2015,-,Diesel,5 Seats,"60,000 Kms",kalyan,First Owner,1396 cc,Manual,2015,1396 cc,88.73 bhp,Manual,,22.54 kmpl,Diesel,New Car Price ₹9.17 Lakh,₹5 Lakh Make Your Offer,"['Rear AC Vents', 'Automatic Climate Control', 'Rear Camera']"
2010 Honda City 1.5 V MT,Jan 2010,-,Petrol,5 Seats,"79,985 Kms",Mumbai,Second Owner,1497 cc,Manual,2010,1497 cc,,Manual,,17 kmpl,Petrol,New Car Price ₹10.52 Lakh,₹2.40 Lakh Make Your Offer,[]
2017 Hyundai Grand i10 Sportz,May 2017,Comprehensive,Petrol,5 Seats,"60,000 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,82 bhp,Manual,,18.9 kmpl,Petrol,New Car Price ₹6.79 Lakh,₹4.10 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Bluetooth Connectivity', 'Steering Mounted Controls']"
2017 Tata Hexa XM,2017,-,Diesel,7 Seats,"1,20,000 Kms",parbhani,First Owner,2179 cc,Manual,2017,2179 cc,153.86 bhp,Manual,,,Diesel,New Car Price ₹18.47 Lakh,₹7 Lakh ,"['Rear AC Vents', 'Tumble Fold Seats']"
2022 Mahindra Bolero B6 Opt BSVI,2022,-,Diesel,7 Seats,"75,000 Kms",,First Owner,1493 cc,Manual,2022,1493 cc,74.96 bhp,Manual,RWD,16 kmpl,Diesel,New Car Price ₹12.18 Lakh,₹7 Lakh ,['Parking Sensors']
2024 Maruti S-Presso VXI CNG,2024,-,CNG,4 Seats,"30,000 Kms",parbhani,First Owner,998 cc,Manual,2024,998 cc,55.92 bhp,Manual,,32.73 km/kg,CNG,New Car Price ₹6.83 Lakh,₹6.70 Lakh ,['Android Auto/Apple CarPlay']
2015 Mahindra Scorpio 1.99 S4 Plus,2015,-,Diesel,7 Seats,"1,00,000 Kms",,First Owner,1997 cc,Manual,2015,1997 cc,120 bhp,Manual,RWD,15.4 kmpl,,New Car Price ₹12.73 Lakh,₹7.50 Lakh ,['Rear AC Vents']
2017 Ford Figo 1.5D Titanium MT,2017,-,Diesel,5 Seats,"1,00,000 Kms",parbhani,First Owner,1498 cc,Manual,2017,1498 cc,99 bhp,Manual,,25.83 kmpl,Diesel,New Car Price ₹8.81 Lakh,₹5.10 Lakh ,['Automatic Climate Control']
2017 Renault Duster Adventure Edition 85PS RXE,2017,-,Diesel,5 Seats,"1,30,000 Kms",parbhani,First Owner,1461 cc,Manual,2017,1461 cc,83.8 bhp,Manual,FWD,19.87 kmpl,,New Car Price ₹12.11 Lakh,₹7.50 Lakh ,[]
2018 Maruti Baleno 1.2 Sigma,2018,-,Petrol,5 Seats,"1,00,000 Kms",parbhani,First Owner,1197 cc,Manual,2018,1197 cc,83.1 bhp,Manual,,21.4 kmpl,Petrol,New Car Price ₹6.39 Lakh,₹5.50 Lakh ,"['Central Locking', 'Air Conditioner', 'Digital Odometer']"
2022 Hyundai Verna SX Opt Turbo,Nov 2024,Comprehensive,Petrol,5 Seats,"36,000 Kms",TG28,First Owner,998 cc,Automatic,2022,,,Automatic,,,,New Car Price ₹17.78 Lakh,₹13.25 Lakh Make Your Offer,[]
2024 Tata Nexon EV Empowered Plus 45,2024,-,Electric,5 Seats,"24,000 Kms",parbhani,First Owner,,Automatic,2024,,142 bhp,Automatic,,,,New Car Price ₹17.88 Lakh,₹15.50 Lakh ,"['Digital Instrument Cluster', 'Wireless Charging', 'Auto Dimming IRVM', 'Rear Camera', 'KeyLess Entry', 'Automatic Climate Control', 'Rear AC Vents', 'Air Purifier', 'Voice Commands', 'Cruise Control', 'Parking Sensors', 'Power Windows', 'Sunroof', 'Advanced Internet Features']"
2017 Mahindra Scorpio S2 7 Seater,2017,-,Diesel,7 Seats,"60,000 Kms",,Second Owner,2523 cc,Manual,2017,2523 cc,75 bhp,Manual,RWD,15.4 kmpl,,New Car Price ₹11.26 Lakh,₹2.68 Lakh ,['Rear AC Vents']
2017 Ford Aspire 1.5 TDCi Titanium Plus,2017,-,Diesel,5 Seats,"54,000 Kms",Mumbai,First Owner,1498 cc,Manual,2017,1498 cc,99 bhp,Manual,,25.83 kmpl,Diesel,New Car Price ₹9.99 Lakh,₹4 Lakh ,['Automatic Climate Control']
2012 Hyundai i20 1.2 Asta,2012,-,Petrol,5 Seats,"1,60,000 Kms",Hingoli,Fifth Owner,1197 cc,Manual,2012,1197 cc,,Manual,,17 kmpl,Petrol,New Car Price ₹6.87 Lakh,₹3 Lakh ,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Steering Mounted Controls']"
2015 Maruti Ciaz ZDi Plus,2015,-,Diesel,5 Seats,"1,02,800 Kms",parbhani,First Owner,1248 cc,Manual,2015,1248 cc,88.5 bhp,Manual,,26.21 kmpl,Diesel,New Car Price ₹12.54 Lakh,₹7 Lakh ,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2023 Maruti Wagon R LXI CNG BSVI,2023,-,CNG,5 Seats,"52,000 Kms",parbhani,First Owner,998 cc,Manual,2023,998 cc,55.92 bhp,Manual,,34.05 km/kg,CNG,New Car Price ₹7.19 Lakh,₹6.50 Lakh ,['Android Auto/Apple CarPlay']
2011 Mahindra Bolero DI - AC BS III,2011,-,Diesel,9 Seats,"2,00,000 Kms",,First Owner,2523 cc,Manual,2011,2523 cc,63 bhp,Manual,2WD,15.96 kmpl,,New Car Price ₹8.60 Lakh,₹3.50 Lakh ,[]
2016 Maruti Swift Dzire Tour LDI,2016,-,Diesel,5 Seats,"1,52,000 Kms",Mumbai,First Owner,1248 cc,Manual,2016,1248 cc,74 bhp,Manual,,23.4 kmpl,Diesel,New Car Price ₹7.12 Lakh,₹3.40 Lakh ,[]
2022 Mahindra Thar LX 4WD Convert Top Diesel BSVI,Jun 2023,-,Diesel,4 Seats,"19,000 Kms",Warangal,First Owner,2184 cc,Manual,2022,2184 cc,130 bhp,Manual,4X4,15.2 kmpl,,New Car Price ₹18.87 Lakh,₹15.25 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Cruise Control']"
2013 Maruti Swift Dzire ZDI,2013,-,Diesel,5 Seats,"3,42,193 Kms",Pune,Second Owner,1248 cc,Manual,2013,1248 cc,74 bhp,Manual,,23.4 kmpl,Diesel,New Car Price ₹8.97 Lakh,₹3.75 Lakh ,['Automatic Climate Control']
2021 Volkswagen Polo 1.0 TSI Highline Plus,2021,-,Petrol,5 Seats,"1,20,000 Kms",Warangal,First Owner,999 cc,Manual,2021,999 cc,108.62 bhp,Manual,,18.24 kmpl,Petrol,New Car Price ₹10.62 Lakh,₹6 Lakh ,"['Rear AC Vents', 'Automatic Climate Control', 'Lane Change Indicator', 'Android Auto/Apple CarPlay']"
2020 Maruti Baleno Zeta,Sept 2020,Comprehensive,Petrol,5 Seats,"50,000 Kms",Ranga reddy,First Owner,1197 cc,Manual,2020,1197 cc,81.80 bhp,Manual,,21.01 kmpl,Petrol,New Car Price ₹9.18 Lakh,₹6.81 Lakh Make Your Offer,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Android Auto/Apple CarPlay']"
2022 Hyundai Venue SX BSVI,2022,-,Petrol,5 Seats,"20,000 Kms",Bhuvanagiri,First Owner,1197 cc,Manual,2022,1197 cc,81.80 bhp,Manual,,16 kmpl,Petrol,New Car Price ₹13.41 Lakh,₹8 Lakh ,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors', 'Cooled Glovebox', 'Wireless Charger']"
2023 Kia Carens Luxury iMT,2023,-,Petrol,7 Seats,"14,000 Kms",Karimnagar,First Owner,1482 cc,Automatic,2023,1482 cc,157.81 bhp,Automatic,,,Petrol,New Car Price ₹20.45 Lakh,₹16 Lakh ,"['Engine Start/Stop Button', 'Cruise Control', 'Automatic Climate Control', 'Rear AC Vents', 'Rear Charging Sockets', 'Tumble Fold Seats', 'Sunroof', 'Ambient Lighting']"
2024 Maruti Ertiga VXi (O) CNG,2024,-,CNG,7 Seats,"28,000 Kms",parbhani,First Owner,1462 cc,Manual,2024,1462 cc,86.63 bhp,Manual,,26.11 km/kg,CNG,New Car Price ₹12.52 Lakh,₹12 Lakh ,"['Parking Sensors', 'Rear AC Vents', 'Rear Seat Armrest', 'Tumble Fold Seats']"
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Nov 2018,-,Petrol,5 Seats,"81,000 Kms",Ranga reddy,Second Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,Manual,,18.9 kmpl,Petrol,New Car Price ₹7.42 Lakh,₹4.55 Lakh Make Your Offer,"['Rear AC Vents', 'Rear Camera']"
2024 Tata Punch Accomplished,2024,-,Petrol,5 Seats,"10,000 Kms",TG24,First Owner,1199 cc,Manual,2024,1199 cc,86.63 bhp,Manual,FWD,20.09 kmpl,,New Car Price ₹9.36 Lakh,₹8.13 Lakh ,"['Parking Sensors', 'Cruise Control']"
2018 Hyundai Creta 1.6 SX Dual Tone,Aug 2018,Comprehensive,Petrol,5 Seats,"72,000 Kms",Ranga reddy,Second Owner,1591 cc,Manual,2018,1591 cc,121.3 bhp,Manual,FWD,15.8 kmpl,Petrol,New Car Price ₹15.94 Lakh,₹11.35 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Cruise Control']"
2022 Tata Safari XZ Plus 6 Str BSVI,Oct 2022,Zero Dep,Diesel,6 Seats,"44,000 Kms",Warangal,First Owner,1956 cc,Manual,2022,1956 cc,167.67 bhp,Manual,,16.14 kmpl,Diesel,New Car Price ₹27.62 Lakh,₹18.50 Lakh Make Your Offer,"['Powered Front Seats', 'Ventilated Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Drive Modes', 'Cruise Control']"
2024 Kia Sonet Gravity,2024,-,Petrol,5 Seats,"30,000 Kms",TG26,First Owner,1197 cc,Manual,2024,1197 cc,81.8 bhp,Manual,FWD,18.4 kmpl,Petrol,New Car Price ₹12.89 Lakh,₹9 Lakh ,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors', 'Wireless Charger', 'Advanced Internet Features']"
2012 Maruti Swift LDI,2012,-,Diesel,5 Seats,"1,60,000 Kms",Pune,Fourth Owner,1248 cc,Manual,2012,,,Manual,,,,New Car Price ₹6.58 Lakh,₹2.50 Lakh ,[]
2024 MG Hector Plus Savvy Pro CVT 7 Str,2024,-,Petrol,7 Seats,"10,000 Kms",TG08,First Owner,1451 cc,Automatic,2024,,,Automatic,,,,New Car Price ₹29.63 Lakh,₹24 Lakh ,[]
2024 Tata Nexon Pure,2024,-,Petrol,5 Seats,"20,000 Kms",TG30,First Owner,1199 cc,Manual,2024,,,Manual,,,,New Car Price ₹11.53 Lakh,₹10.52 Lakh ,[]
2020 Tata Nexon EV XZ Plus LUX,2020,-,Electric,5 Seats,"80,000 Kms",Prakasam,Second Owner,,Automatic,2020,,,Automatic,,,,New Car Price ₹17.88 Lakh,₹7.50 Lakh ,[]
2021 Maruti Swift VXI BSVI,2021,-,Petrol,5 Seats,"70,000 Kms",Ranga reddy,First Owner,1197 cc,Manual,2021,,,Manual,,,,New Car Price ₹8.30 Lakh,₹5.50 Lakh ,[]
2018 Maruti Swift Dzire VDI,2018,-,Diesel,5 Seats,"1,20,000 Kms",Latur,First Owner,1248 cc,Manual,2018,,,Manual,,,,New Car Price ₹8.96 Lakh,₹8 Lakh ,[]
2013 Honda Amaze S i-Vtech,2013,-,Petrol,5 Seats,"80,000 Kms",Visakhapatnam,First Owner,1198 cc,Manual,2013,,,Manual,,,,New Car Price ₹7.36 Lakh,₹3 Lakh ,[]
2011 Ford Figo Diesel ZXI,2011,-,Diesel,5 Seats,"1,60,000 Kms",Latur,Third Owner,1399 cc,Manual,2011,,,Manual,,,,New Car Price ₹6.49 Lakh,₹2 Lakh ,[]
2021 Mahindra XUV300 W8 BSVI,2021,-,Petrol,5 Seats,"30,000 Kms",Prakasam,First Owner,1197 cc,Manual,2021,,,Manual,,,,New Car Price ₹14.06 Lakh,₹9.25 Lakh ,[]
2013 Hyundai Santro Xing GL,2013,-,Petrol,5 Seats,"10,000 Kms",Visakhapatnam,First Owner,1086 cc,Manual,2013,,,Manual,,,,New Car Price ₹4.01 Lakh,₹2.50 Lakh ,[]
2003 Hyundai Santro Xing Base,2003,-,Petrol,5 Seats,"90,000 Kms",Visakhapatnam,First Owner,1086 cc,Manual,2003,,,Manual,,,,New Car Price ₹3.97 Lakh,₹1 Lakh ,[]
2023 Tata Punch Adventure BSVI,2023,-,Petrol,5 Seats,"29,000 Kms",kothagudem,First Owner,1199 cc,Manual,2023,1199 cc,86.63 bhp,Manual,,20.09 kmpl,Petrol,New Car Price ₹8.24 Lakh,₹6.80 Lakh ,['Parking Sensors']
2021 Maruti Swift VXI AMT BSVI,2021,-,Petrol,5 Seats,"20,000 Kms",kothagudem,First Owner,1197 cc,Automatic,2021,1197 cc,88.50 bhp,Automatic,,22.56 kmpl,Petrol,New Car Price ₹8.95 Lakh,₹7.80 Lakh ,['Android Auto/Apple CarPlay']
2024 Kia Seltos HTK Plus,2024,-,Petrol,5 Seats,"20,000 Kms",Warangal,First Owner,1497 cc,Manual,2024,1497 cc,113.42 bhp,Manual,2WD,17 kmpl,Petrol,New Car Price ₹19.31 Lakh,₹12.29 Lakh ,"['Height Adjustable Driver Seat', 'Automatic Climate Control', 'Cruise Control', 'Sunroof']"
2009 Tata Indigo V BSIII,2009,-,Diesel,5 Seats,"1,50,000 Kms",Tamluk,First Owner,1405 cc,Manual,2009,1405 cc,,Manual,,17 kmpl,Diesel,New Car Price ₹5.99 Lakh,₹90 Thousand ,[]
2021 Kia Seltos HTX Diesel,2021,-,Diesel,5 Seats,"60,000 Kms",Ranga reddy,First Owner,1493 cc,Manual,2021,1493 cc,113.43 bhp,Manual,FWD,20.8 kmpl,Diesel,New Car Price ₹20.30 Lakh,₹12 Lakh ,"['Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Cruise Control']"
